\U0001F469\U0001F3FB\U0000200D\U00002708	woman pilot: light skin tone
\U0001F469\U0001F3FC\U0000200D\U00002708\U0000FE0F	woman pilot: medium-light skin tone
\U0001F469\U0001F3FC\U0000200D\U00002708	woman pilot: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U00002708\U0000FE0F	woman pilot: medium skin tone
\U0001F469\U0001F3FD\U0000200D\U00002708	woman pilot: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U00002708\U0000FE0F	woman pilot: medium-dark skin tone
\U0001F469\U0001F3FE\U0000200D\U00002708	woman pilot: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U00002708\U0000FE0F	woman pilot: dark skin tone
\U0001F469\U0001F3FF\U0000200D\U00002708	woman pilot: dark skin tone
\U0001F468\U0000200D\U0001F680	man astronaut
\U0001F468\U0001F3FB\U0000200D\U0001F680	man astronaut: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F680	man astronaut: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F680	man astronaut: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F680	man astronaut: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F680	man astronaut: dark skin tone
\U0001F469\U0000200D\U0001F680	woman astronaut
\U0001F469\U0001F3FB\U0000200D\U0001F680	woman astronaut: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F680	woman astronaut: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F680	woman astronaut: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F680	woman astronaut: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F680	woman astronaut: dark skin tone
\U0001F468\U0000200D\U0001F692	man firefighter
\U0001F468\U0001F3FB\U0000200D\U0001F692	man firefighter: light skin tone
\U0001F468\U0001F3FC\U0000200D\U0001F692	man firefighter: medium-light skin tone
\U0001F468\U0001F3FD\U0000200D\U0001F692	man firefighter: medium skin tone
\U0001F468\U0001F3FE\U0000200D\U0001F692	man firefighter: medium-dark skin tone
\U0001F468\U0001F3FF\U0000200D\U0001F692	man firefighter: dark skin tone
\U0001F469\U0000200D\U0001F692	woman firefighter
\U0001F469\U0001F3FB\U0000200D\U0001F692	woman firefighter: light skin tone
\U0001F469\U0001F3FC\U0000200D\U0001F692	woman firefighter: medium-light skin tone
\U0001F469\U0001F3FD\U0000200D\U0001F692	woman firefighter: medium skin tone
\U0001F469\U0001F3FE\U0000200D\U0001F692	woman firefighter: medium-dark skin tone
\U0001F469\U0001F3FF\U0000200D\U0001F692	woman firefighter: dark skin tone
\U0001F46E	police officer
\U0001F46E\U0001F3FB	police officer: light skin tone
\U0001F46E\U0001F3FC	police officer: medium-light skin tone
\U0001F46E\U0001F3FD	police officer: medium skin tone
\U0001F46E\U0001F3FE	police officer: medium-dark skin tone
\U0001F46E\U0001F3FF	police officer: dark skin tone
\U0001F46E\U0000200D\U00002642\U0000FE0F	man police officer
\U0001F46E\U0000200D\U00002642	man police officer
\U0001F46E\U0001F3FB\U0000200D\U00002642\U0000FE0F	man police officer: light skin tone
\U0001F46E\U0001F3FB\U0000200D\U00002642	man police officer: light skin tone
\U0001F46E\U0001F3FC\U0000200D\U00002642\U0000FE0F	man police officer: medium-light skin tone
\U0001F46E\U0001F3FC\U0000200D\U00002642	man police officer: medium-light skin tone
\U0001F46E\U0001F3FD\U0000200D\U00002642\U0000FE0F	man police officer: medium skin tone
\U0001F46E\U0001F3FD\U0000200D\U00002642	man police officer: medium skin tone
\U0001F46E\U0001F3FE\U0000200D\U00002642\U0000FE0F	man police officer: medium-dark skin tone
\U0001F46E\U0001F3FE\U0000200D\U00002642	man police officer: medium-dark skin tone
\U0001F46E\U0001F3FF\U0000200D\U00002642\U0000FE0F	man police officer: dark skin tone
\U0001F46E\U0001F3FF\U0000200D\U00002642	man police officer: dark skin tone
\U0001F46E\U0000200D\U00002640\U0000FE0F	woman police officer
\U0001F46E\U0000200D\U00002640	woman police officer
\U0001F46E\U0001F3FB\U0000200D\U00002640\U0000FE0F	woman police officer: light skin tone
\U0001F46E\U0001F3FB\U0000200D\U00002640	woman police officer: light skin tone
\U0001F46E\U0001F3FC\U0000200D\U00002640\U0000FE0F	woman police officer: medium-light skin tone
\U0001F46E\U0001F3FC\U0000200D\U00002640	woman police officer: medium-light skin tone
\U0001F46E\U0001F3FD\U0000200D\U00002640\U0000FE0F	woman police officer: medium skin tone
\U0001F46E\U0001F3FD\U0000200D\U00002640	woman police officer: medium skin tone
\U0001F46E\U0001F3FE\U0000200D\U00002640\U0000FE0F	woman police officer: medium-dark skin tone
\U0001F46E\U0001F3FE\U0000200D\U00002640	woman police officer: medium-dark skin tone
\U0001F46E\U0001F3FF\U0000200D\U00002640\U0000FE0F	woman police officer: dark skin tone
\U0001F46E\U0001F3FF\U0000200D\U00002640	woman police officer: dark skin tone
\U0001F575\U0000FE0F	detective
\U0001F575	detective
\U0001F575\U0001F3FB	detective: light skin tone
\U0001F575\U0001F3FC	detective: medium-light skin tone
\U0001F575\U0001F3FD	detective: medium skin tone
\U0001F575\U0001F3FE	detective: medium-dark skin tone
\U0001F575\U0001F3FF	detective: dark skin tone
\U0001F575\U0000FE0F\U0000200D\U00002642\U0000FE0F	man detective
\U0001F575\U0000200D\U00002642\U0000FE0F	man detective
\U0001F575\U0000FE0F\U0000200D\U00002642	man detective
\U0001F575\U0000200D\U00002642	man detective
\U0001F575\U0001F3FB\U0000200D\U00002642\U0000FE0F	man detective: light skin tone
\U0001F575\U0001F3FB\U0000200D\U00002642	man detective: light skin tone
\U0001F575\U0001F3FC\U0000200D\U00002642\U0000FE0F	man detective: medium-light skin tone
\U0001F575\U0001F3FC\U0000200D\U00002642	man detective: medium-light skin tone
\U0001F575\U0001F3FD\U0000200D\U00002642\U0000FE0F	man detective: medium skin tone
\U0001F575\U0001F3FD\U0000200D\U00002642	man detective: medium skin tone
\U0001F575\U0001F3FE\U0000200D\U00002642\U0000FE0F	man detective: medium-dark skin tone
\U0001F575\U0001F3FE\U0000200D\U00002642	man detective: medium-dark skin tone
\U0001F575\U0001F3FF\U0000200D\U00002642\U0000FE0F	man detective: dark skin tone
\U0001F575\U0001F3FF\U0000200D\U00002642	man detective: dark skin tone
\U0001F575\U0000FE0F\U0000200D\U00002640\U0000FE0F	woman detective
